"filename", "language", "JSON", "TypeScript", "Markdown", "JavaScript", "YAML", "JSON with Comments", "Properties", "Shell Script", "Python", "Docker", "pip requirements", "HTML", "comment", "blank", "total"
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/stack/share-resources-stack.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 52
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/stack/stepfunctions-sample-stack.ts", "TypeScript", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 128
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/stack/waf-alb-stack.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/stack/waf-cloudfront-stack.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 44
"/home/dungnv/work-space/nal/ccb-cdk-codebase/package-lock.json", "JSON", 6491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6492
"/home/dungnv/work-space/nal/ccb-cdk-codebase/package.json", "JSON", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"/home/dungnv/work-space/nal/ccb-cdk-codebase/params/dev.ts", "TypeScript", 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 26, 259
"/home/dungnv/work-space/nal/ccb-cdk-codebase/params/interface.ts", "TypeScript", 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 178
"/home/dungnv/work-space/nal/ccb-cdk-codebase/params/prod.ts", "TypeScript", 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 23, 286
"/home/dungnv/work-space/nal/ccb-cdk-codebase/params/stage.ts", "TypeScript", 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 23, 286
"/home/dungnv/work-space/nal/ccb-cdk-codebase/test/blea-guest-ecsapp-sample.test.ts", "TypeScript", 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 20, 187
"/home/dungnv/work-space/nal/ccb-cdk-codebase/tsconfig.base.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/home/dungnv/work-space/nal/ccb-cdk-codebase/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"Total", "-", 6833, 5040, 202, 26, 253, 8, 74, 409, 7, 25, 1, 1, 1391, 864, 15134
